@relation Rel

@attribute Tweet string
@attribute ALL_CAPS_WORDS numeric
@attribute NEGATIVE_HASHTAGS numeric
@attribute CONSECUTIVE_QUESTION_MARKS numeric
@attribute POSITIVE_WORDS numeric
@attribute CONSECUTIVE_EXCLAMATIONS_MARKS numeric
@attribute ENLARGED_WORD numeric
@attribute NEGATIVE_WORDS numeric
@attribute POSITIVE_SMILIES numeric
@attribute ALL_CAPS numeric
@attribute NEGATIVE_SMILIES numeric
@attribute POSITIVE_HASHTAGS numeric
@attribute Sentiment {negative,positive}

@data
'ugh know million ilovejalenmcmillan fan that wont even notic MENTION',1,0,0,1,0,0,1,0,0,1,0,negative
'hate thse fell selos_ako_dun_ah',0,0,0,0,0,0,1,0,0,2,0,negative
'make even disappoint',0,0,0,0,0,0,1,0,0,1,0,negative
'high fever',0,0,0,0,0,0,1,0,0,1,0,negative
'almost get hit car funni DOTS',0,0,0,0,0,0,1,0,0,1,0,negative
shit,4,0,0,0,0,0,1,0,1,1.5,0,negative
'just finish zelda link world now URL',0,0,0,0,0,0,0,0,0,1,0,negative
'hiccup pleas stop',0,0,0,0,1,0,0,0,0,1,0,negative
'aali kana daw ng adnu — um not_know yet URL',0,0,0,0,0,0,0,0,0,1,0,negative
'soo goood sudden fall',0,0,0,1,0,1,1,0,0,1,0,negative
'just want toffe nut sticki cinnamon bun',0,0,0,0,0,0,1,0,0,1.5,0,negative
'MENTION duuud hey jetlag moodi',0,0,0,0,0,1,1,0,0,2,0,negative
'feel sick',0,0,0,0,0,0,1,0,0,1,0,negative
'not_about one favourit hijab go walki disappear life priceofthegypsylife',0,0,0,0,0,0,0,0,0,1,0,negative
'just type 4 page essay realli want go back asleep',0,0,0,0,0,0,0,0,0,1.5,0,negative
'fuck nightmar',0,0,0,0,0,0,1,0,0,1,0,negative
'oh god not_websit work just want tv god sakee',1,0,0,0,0,1,0,0,0,6,0,negative
'take turn pee side check cash store',0,0,0,0,0,0,0,0,0,1,0,negative
'sel not_tl',0,0,0,0,0,0,0,0,0,1,0,negative
'hand full MENTION laitan na MENTION burnt plaintain',0,0,0,0,0,0,0,0,0,2,0,negative
'care dont care',0,0,0,0,0,0,0,0,0,1,0,negative
'<3 — feel broken',0,0,0,0,0,0,1,0,0,1,0,negative
'stress debit card will not_arr fanclub merch sold',0,0,0,1,0,0,0,0,0,1.5,0,negative
'next door tree surgeon cut multipl tree garden DOTS sooo noisi DOTS go away tri work',0,0,0,1,0,1,1,0,0,1,0,negative
'awwn babi MENTION hian abeg not_start wit love lovey oo _ MENTION yes love MENTION MENTION',0,0,0,2,0,0,0,0,0,1,0,negative
'fuck found anoth one wall',0,0,0,0,0,0,1,0,0,1,0,negative
'leav bike central station weekend not_get stolen honey will back soon URL',0,0,0,0,0,0,1,0,0,1,0,negative
'want go robmag tom friendsss never ako nakipag bond friendsss',0,0,0,0,0,2,0,0,0,3,0,negative
'realli feel inspir creativ juic not_com',0,0,0,1,0,0,0,0,0,1.5,0,negative
'home alon sigh — feel bore',0,0,0,0,0,0,1,0,0,1,0,negative
'even poverti not_think twice offer fruit journalist talk URL',0,0,0,0,0,0,1,0,0,1,0,negative
'basic hate school DOTS URL',0,0,0,0,0,0,1,0,0,1.5,0,negative
'black friday broke internet',0,0,0,0,0,0,1,0,0,1,0,negative
'lost iphon button',0,0,0,0,0,0,1,0,0,1,0,negative
'forgot id',1,0,0,0,0,0,0,0,0,1,0,negative
'day work lot imodium not_stray far smallest room great',0,0,0,2,1,0,0,0,0,1,0,negative
cold,0,0,0,0,0,0,1,0,0,1,0,negative
'just not_know roll eye DOTS — teka lang talaga sorri swear sino ba s DOTS URL',0,0,0,0,0,0,1,0,0,3,0,negative
'feel worri MENTION',1,0,0,0,0,0,1,0,0,1,0,negative
'fatass breath',0,0,0,0,0,0,0,0,0,1,0,negative
bore,0,0,0,0,0,0,1,0,0,1,0,negative
'horrend headach just need just go lay dark room',0,0,0,0,0,0,3,0,0,1,0,negative
'srsli fuck make genuin sad URL',0,0,0,0,0,0,2,0,0,1,0,negative
'dmspree ka ver 28 oliverlanc day MENTION',0,0,0,0,0,0,0,0,0,1,0,negative
'black friday shop mom kohl lost mammm',3,0,0,0,0,1,1,0,0,1,0,negative
'sistar kpop convent 6 28th decemb oh alreadi left ph die see girl MENTION',2,0,0,0,2,0,1,0,0,1,0,negative
'cat unaffection',0,0,0,0,0,0,0,0,0,1.5,0,negative
'happi overload day <3 wish sissi hey queen miss much DOTS URL',1,0,0,1,0,0,1,0,0,1,0,negative
'fm feel maganda',1,0,0,0,0,0,0,0,0,1,0,negative
'ilovejalenmcmillan likley not_even read right now MENTION beauti 1235',0,0,0,2,0,0,0,0,0,1,0,negative
'1yearexoshowtime gonna cri now',0,0,0,0,0,0,1,0,0,2.5,0,negative
'embarrass pictures/video peopl kick save bob two fuck retail laugh make look like mug notme sad',0,1,0,1,0,0,3,0,0,0,0,negative
'feel sad fa yesterday DOTS much sad DOTS',0,1,0,0,0,0,2,0,0,0,0,negative
'instead celebr life URL leader busi declar sycoph sad',0,1,0,0,0,0,1,0,0,0,0,negative
'not_b sad person prefer anoth person uh becox uh convinc monkey honey sweeter banana',0,1,0,1,0,0,1,1,0,0,0,negative
'sad 2 see news realli bare anyon shopping christmas halloween hurt retail',0,1,0,0,0,0,2,0,0,0,0,negative
'realli draw circus animals day 🐵🐒🐘 circus animals sad sketch doodle wip DOTS URL',0,1,0,0,0,0,1,0,0,0,0,negative
'peopl bulli sad insecure weak lost rude selfish',0,1,0,0,0,0,7,0,0,0,0,negative
'work duniakerja duniakeras bengkel teknisi sad fuckmoment funny URL',0,1,0,1,0,0,2,0,0,0,0,negative
'oooh man peopl perfect hug tv box u know DOTS sad fucker',0,1,0,0,0,1,1,0,0,0,0,negative
'cold dark winterblues sad tackl depression tip URL',0,1,0,0,0,0,4,0,0,0,0,negative
'miss bestfriend even not_miss sad',0,1,0,0,0,0,3,0,0,0,0,negative
'wish peopl hang like old day socialproblems sad',0,1,0,1,0,0,2,0,0,1,0,negative
'sad 😖when u send sweet message&th never answeroransw othersoransw mani hour sad 😒',1,1,0,1,0,0,2,0,0,0,0,negative
'think fight peopl get blackfriday pathet exact never stay late get earli go sad',0,1,0,0,0,0,2,0,0,0,0,negative
'peopl soul asham today bloodi animals £50 save blackfriday sad animals',0,1,0,0,0,0,3,0,0,0,0,negative
'depressed eat ice cream psy cholog psy sad depressed feel feeling ksa kau DOTS URL',0,1,0,0,0,0,3,0,0,1,0,negative
'not_filter✌ last day sad times URL',0,1,0,0,0,0,1,0,0,0,0,negative
'today last day MENTION 7 year realli go miss famili ❤️ bittersweet sad',0,1,0,0,0,0,2,0,0,0,0,negative
'realli sad phillip hugh just goe show never realli know around corner young well',0,1,0,1,0,0,1,0,0,0,0,negative
'wist feel ❄😔 ❄ winter snow cold depression sad grodno cathedral instabelarus DOTS URL',0,1,0,0,0,0,3,0,0,0,0,negative
'pizza sad MENTION MENTION manuel',0,1,0,0,0,0,1,0,0,0,0,negative
'america dream come die sad trending news freugeson americanbullshit nogod 🔫🔪💊💉💰 hero dead',0,1,0,1,0,0,3,0,0,0,0,negative
'aahh tv morn suppos get daili MENTION fix sad',1,1,0,0,0,0,1,0,0,0,0,negative
'will alon cry sad',0,1,0,0,0,0,2,0,0,0,0,negative
'roadbike puncture not_sad will late work sad ride bus bunk fuck',0,1,0,1,0,0,4,0,0,0,0,negative
'world sicken sad world sick sad protests ferguson',0,1,0,0,0,0,4,0,0,0,0,negative
'dolla spent poor sad',0,2,0,0,0,0,2,0,0,1,0,negative
'broke car sad',0,1,0,0,0,0,2,0,0,0,0,negative
'sad tired seem sink insid alon 😔 sad tiredasf',0,1,0,0,0,0,3,0,0,0,0,negative
'moment watch old convers long death friend sad',0,1,0,0,0,0,2,0,0,0,0,negative
'will find way sad alone way tears URL',0,1,0,0,0,0,1,0,0,0,0,negative
'URL yoga meditate mudra not_tim yog 😞 sad work yoga MENTION thisisyoga 🙏',0,1,0,1,0,0,1,0,0,0,0,negative
'rest peac phil hugh sad',0,1,0,1,0,0,1,0,0,0,0,negative
'rip dearest carlo one cute handsom ador cat miss much 😞😢 sad URL',1,1,0,3,0,0,2,0,0,0,0,negative
'seven mental health patient die wait bed URL sinc april 2011 total 2 179 bed cut sad',0,1,0,0,0,0,2,0,0,0,0,negative
'also look window see light dust snow yup crazi storm last night DOTS sure get 25cm _ fail',0,1,0,0,0,0,2,0,0,0,0,negative
'appl resel black friday save 20 everyth URL humac fail dk blackfriday except appl product',0,1,0,0,0,0,1,0,0,0,0,negative
'typic big store not_return polici will not_except fault even deliv wrong product MENTION fail newlook',0,1,0,1,0,0,3,0,0,0,0,negative
'not_corrupt smartphon here proof montreal construction fail MENTION MENTION URL',0,1,0,0,0,0,2,0,0,0,0,negative
'river island 20 server crash within minut kind embarass big retail fail',0,1,0,0,0,0,2,0,0,0,0,negative
'nigel oh jontybark nigel_farag ukip cameronmustgo not_idea realiti jerk knee politician fail',1,1,0,0,0,0,2,0,0,0,0,negative
'accept fact go fail welsh exam fail',0,1,0,0,0,0,2,0,0,0,0,negative
'blackfriday fail websit not_built cope MENTION fail MENTION fail come guy',0,2,0,0,0,0,3,0,0,0,0,negative
'france recognize palestinian state peace efforts fail pari reuter – france said friday DOTS URL',1,1,0,1,0,0,1,0,0,0,0,negative
'people keep wait light turn green leav URL will never happen & fail even start',0,1,0,0,0,0,1,0,0,0,0,negative
'think media respons caus blackfriday chaos uk hype media sheep advertising chaos sales fail yobs',1,1,0,0,0,0,4,0,0,0,0,negative
'3 year degre pretti sure lectur never mention b2b market DOTS market b2c fail',0,1,0,1,0,0,1,0,0,0,0,negative
'anoth black friday websit fail cmon tesco sort server capic blackfriday fail URL',1,1,0,0,0,0,2,0,0,0,0,negative
'feel morn DOTS blackfriday sucks retail fail shacklife URL',0,1,0,0,0,0,2,0,0,0,0,negative
'MENTION site go site fail group',0,1,0,0,0,0,1,0,0,0,0,negative
'think overdid first week back gym back kill today fail gymproblems',0,1,0,0,0,0,2,0,0,0,0,negative
'first linkedin comm hi hannah free today chat servic not_know care fail',0,1,0,1,0,0,1,0,0,0,0,negative
'possibl favourit ever fail know mean laugh URL',0,1,0,0,0,0,1,0,0,0,0,negative
'friday night & kid camp free night & sleep tomorrow hub transit biz trip fail',0,1,0,1,0,0,1,0,0,0,0,negative
'bare sale fail blackfriday',0,1,0,0,0,0,1,0,0,0,0,negative
'sms spam hurt brand especi connect economi will peopl understand fail',0,1,0,0,0,0,2,0,0,0,0,negative
'bad sock choic DOTS fail URL',0,1,0,0,0,0,2,0,0,0,0,negative
'thank MENTION take web reserv last night tablet tell now not_valid blackfriday fail',0,1,0,0,0,0,1,0,0,0,0,negative
'remak film standard set high origin anniemovie fail',0,1,0,0,0,0,1,0,0,0,0,negative
'way abl work page ipad icloud share word doc open mac apple fail stupid',0,1,0,1,0,0,2,0,0,0,0,negative
'need run payrol MENTION busi bank servic go back fail blackfriday',0,1,0,0,0,0,1,0,0,0,0,negative
'moment realis left key home DOTS fail',0,1,0,0,0,0,1,0,0,0,0,negative
'actual need go ikea today forgot f ing black friday fail',0,1,0,0,0,1,1,0,0,0,0,negative
'massiv blackfriday fail curri URL',1,1,0,0,0,0,1,0,0,0,0,negative
'uk store spend week shove blackfriday throat mani digit store not_buckl strain mcommerce fail',2,1,0,0,0,0,2,0,0,0,0,negative
'amazon uk blackfriday fail',0,1,0,0,0,0,1,0,0,0,0,negative
'term end 2 week suppos chosen project DOTS not_even titl yet good one leicest fail',0,1,0,1,0,0,1,0,0,0,0,negative
'lunchtim & not_staff half enquiri counter MENTION branch DOTS fail shake head',0,1,0,0,0,0,1,0,0,0,0,negative
'fail save children’ pr defend blair almost wors award great blog MENTION URL',1,1,0,2,0,0,2,0,0,0,0,negative
'phone start drop hint need replac fallen 3rd time today tech fail',0,1,0,0,0,0,2,0,0,1,0,negative
'fall price oil will remov last tatter arrog shred pretens conserv econom polici fail cdnpoli',0,1,0,0,0,0,6,0,0,0,0,negative
'man can fail mani time not_a failure begin blame somebodi els john burrough',0,1,0,0,0,0,3,0,0,0,0,negative
'smarten nas 4 album 10 year homey can divid one album everi let us say two year fail obviouslycannotdivide',0,1,0,0,0,0,1,0,0,0,0,negative
'wait car MENTION arriv need rob not_hav chang ticket machin fail',0,1,0,0,0,0,1,0,0,0,0,negative
'photo epic fail facepalm timesofindia make disastr blunder kill sachintendulkar DOTS rip DOTS URL',0,1,0,0,0,0,5,0,0,0,0,negative
'becki fail miss cbc',1,1,0,0,0,0,2,0,0,0,0,negative
'never ever want nurs entir life senior quot tho 😅 fail URL',0,1,0,0,0,0,1,0,0,0,0,negative
'come fail life URL fuck blackfriday fail',1,1,0,0,0,0,3,0,0,0,0,negative
'mathemat genius must left combin weight legpress gym fail URL',0,1,0,1,0,0,1,0,0,0,0,negative
'MENTION chicken extend trail cap immigr eu citizen still screw commonwealth & row fail eu',1,1,0,0,0,0,1,0,0,0,0,negative
'book friday quiet xmas shop catchup mum total not_appreci blackfriday mad fail',0,1,0,2,0,0,2,0,0,0,0,negative
'much confus divers not_prop signag MENTION fail excit',0,1,0,2,0,0,2,0,0,0,0,negative
'MENTION websit crashed cours e erienc high volum run ton tv ad press ad fail',1,1,0,0,0,0,2,1,0,0,0,negative
'write best poem life comput turn goe masterpiec fail',0,1,0,2,0,0,1,0,0,0,0,negative
'look like next week burger van run go e ensiv fail',0,1,0,1,0,0,1,1,0,0,0,negative
'cfo mistaken tweet deal plan URL twittergonewrong socialmedia udontseethiseveryday fail',1,1,0,0,0,0,2,0,0,0,0,negative
'dear googl turn top bottom bar black red actual drain batteri ole display fail',1,1,0,1,0,0,2,0,0,0,0,negative
'say thought move prejud 2/2 prejudice fail',0,1,0,0,0,0,2,0,0,0,0,negative
'point blackfridaydeals none can keep site MENTION MENTION MENTION much fail',0,1,0,0,0,0,1,0,0,0,0,negative
'secret santa present got deliv offic unwrap everyon seen even person know fail',1,1,0,0,0,0,1,0,0,0,0,negative
'franc 2012 olymp mexico murray won wimbledon will mexico rugbi world cup england fail',0,1,0,1,0,0,1,0,0,0,0,negative
'success failure climb back URL success fail failure motivation entrepreneur business marketing',0,1,0,2,0,0,3,0,0,0,1,negative
'wow capit consumer realli bring best peopl URL blackfriday fail',0,1,0,2,0,0,1,0,0,0,0,negative
'guess MENTION noth believ blackfriday fail',1,1,0,0,0,0,1,0,0,0,0,negative
'ha first type reverttoself add later work intellisens problem seem DOTS vs2015 fail',0,1,0,1,0,0,1,0,0,0,0,negative
'dear oracl pleas pleas pleas stop break link document urlsareforlife learntoredirectproperly fail',0,1,0,0,0,0,2,0,0,0,0,negative
'biggest report fail ever MENTION MENTION MENTION URL',0,1,0,0,0,0,1,0,0,0,0,negative
'time thought 1d special weekend fail',0,1,0,0,0,0,1,0,0,0,0,negative
'10 peopl one job just total blew URL fail fails',0,1,0,0,0,0,2,0,0,0,0,negative
'sarah palin make shit URL fail fuck palin',0,1,0,0,0,0,3,0,0,0,0,negative
'not_let retouching fail happen URL',0,1,0,0,0,0,1,0,0,0,0,negative
'need work can get charger iphon 4s see mine die ars fail',0,1,0,1,0,0,2,0,0,0,0,negative
'hey MENTION realli black friday sent 5 shower instead lamp least will clean desk skills fail',0,1,0,1,0,0,1,0,0,0,0,negative
'MENTION MENTION speech action said &done 5 year ago let uk descend crisi fail',1,1,0,0,0,0,2,0,0,0,0,negative
'disappoint MENTION MENTION s onlin queue time complet inaccur fail',0,1,0,0,0,0,3,0,0,0,0,negative
'oh bad respons employ forgot attach document email wow fail comical',0,1,0,1,0,0,3,0,0,0,0,negative
'fail think ice coffe drank denni keep awak',0,1,0,0,0,0,1,0,0,0,0,negative
'6 hour christma shop black friday got 2 purs one fail',0,1,0,0,0,0,1,0,0,0,0,negative
'pay day annnddd lost bank card DOTS yes fail',0,1,0,0,0,2,2,0,0,0,0,negative
'point onlin shop avoid queue popular site like currys/argo put us one ahahaha fail',0,1,0,2,0,0,1,0,0,0,0,negative
'laugh loud brother tri sneak hous time fail',0,1,0,1,0,0,2,0,0,0,0,negative
'pointless MENTION hour deal get websit buy fail',0,1,0,0,0,0,2,0,0,0,0,negative
'vatmoss vatmess almost though govern depart understand modern internet thing DOTS oh wait DOTS fail',0,1,0,1,0,0,1,0,0,0,0,negative
'tri look angry fail angry MENTION mediacorp caldecott broadcast centr URL',0,1,0,0,0,0,3,0,0,0,0,negative
'successful people one tri fail tri sometim beauty attempt',0,1,0,2,0,0,1,0,0,0,1,negative
'fucker tri take photo complet stranger cb never turn flash fail',15,1,0,0,0,0,1,0,1,0,0,negative
'day6 mercedes car repair less r5000 MENTION worst servic custom world MENTION fail',0,1,0,0,0,1,2,0,0,0,0,negative
'als ice bucket challenge fail tgp lobaseuseuheun URL',1,1,0,0,0,0,1,0,0,0,0,negative
'amaz even tesco direct backfriday fail MENTION URL',0,1,0,1,0,0,1,0,0,0,0,negative
'awesom blackfridaydeals MENTION just head websi oh not_wait nevermind fail',0,1,0,1,0,0,1,0,0,0,0,negative
'curri pc world websit also not_handl black friday fail blackfriday',1,1,0,0,0,0,1,0,0,0,0,negative
'prepar compani black friday 37m wait time websit fail blackfriday MENTION URL',0,1,0,0,0,0,1,0,0,0,0,negative
'comeback key URL fail comeback business hope inspiration entrepreneur',0,1,0,1,0,0,1,0,0,0,0,negative
'cowork monday first christma mean decemb fail',2,1,0,0,0,0,1,0,0,0,0,negative
'talk tories strong word just fail',0,1,0,1,0,0,1,0,0,0,0,negative
'thank u spam MENTION MENTION amd charg optout fail URL',1,1,0,1,0,0,1,0,0,0,0,negative
'guess anoth signal failur MENTION DOTS londoncommuting fail',0,1,0,0,0,0,2,0,0,0,0,negative
'bust twice doublegirl fail',0,1,0,0,0,0,1,0,0,0,0,negative
'not_th whole idea internet screw access provid countri internettv fail',0,1,0,0,0,0,2,0,0,0,0,negative
'decid not_to get involv blackfriday mad fail christmasgiftideas amazon got alreadi delivery come next week laugh loud',0,1,0,1,0,0,2,0,0,0,0,negative
'know need inspir get last rep fuck take play fail gymprobz',0,1,0,1,0,0,2,0,0,0,0,negative
'pervez rashid tri hard sound funni sarcast DOTS fail becom illeg carri cash even illog',0,1,0,0,0,0,6,0,0,0,0,negative
'smalltim partisan hack like chris uhlmann surviv MENTION sack fail abccuts',0,1,0,1,0,0,3,0,0,0,0,negative
'4am failps4 complain can’t start game without disc spend 15 minut forum look way resolv URL URL',0,0,0,0,0,0,1,0,0,0,0,negative
'extrem disappoint MENTION inspiron 14 74 37 special touchpad fail',0,1,0,0,0,0,2,0,0,0,0,negative
'biggest hate life DOTS not_even think lie DOTS not_respect URL',0,1,0,1,0,0,2,0,0,0,0,negative
'say bye past n say hello futur hate stubborn guys dontfollowme donttalktome alert yall',2,1,0,0,0,0,2,0,0,0,0,negative
'darkness can not_driv darkness light can hate can not_driv DOTS w/ babyboy URL',0,1,0,0,0,0,3,0,0,0,0,negative
'see peopl just born hate not_understand god know DOTS URL',0,1,0,0,0,0,1,0,0,0,0,negative
'bore DOTS emo boy emo hate ungly sexy gay gayboy URL',0,1,0,1,0,0,2,0,0,0,0,negative
'nice human => unless cours hate insecure miserable DOTS URL',0,1,0,1,0,0,3,0,0,0,1,negative
'leav photography uni nikon love hate poetry editorial heels thelauralamb MENTION bath school DOTS URL',0,1,0,1,0,0,1,0,0,0,1,negative
'one random low day hate kind day one random low day hate kind DOTS URL',0,1,0,0,0,0,2,0,0,1,0,negative
'mensrights MENTION sexual abus happen everyday home abus aren’t untouch cele DOTS URL feminism hate',0,1,0,0,0,0,2,0,0,0,0,negative
'hate everything book swagshop URL',0,1,0,0,0,0,1,0,0,0,0,negative
'alway chasin pie sky hate',0,1,0,0,0,0,1,0,0,0,0,negative
'hate u s abandon tribe fought isi iraqi forc anbar provinc say need weapon DOTS URL',3,1,0,0,0,0,1,0,0,0,0,negative
'hate peopl fuck anal family hate',0,1,0,0,0,0,3,0,0,0,0,negative
'babi fool hate',0,1,0,0,0,0,2,0,0,0,0,negative
'wanna see doin thing hate',0,1,0,0,0,0,1,0,0,0,0,negative
'wonder can someth not_lik think bad hate friday weekend',0,2,0,2,0,0,2,0,0,0,0,negative
'& comput gonna one love hate relationship URL wrap track love hate digitallove',0,1,0,2,0,0,2,0,0,0,1,negative
'studying starbuckscoffee ao studying exile arashi music love best friend forev test hate kyoto throwback thursday DOTS URL',0,1,0,1,0,0,2,0,0,0,1,negative
'MENTION not_that truth hate loveistheanswer URL',1,1,0,0,0,0,1,0,0,0,0,negative
'mensrights MENTION poor guy treat like crap femal help submit b DOTS URL feminism hate',0,1,0,2,0,0,3,0,0,0,0,negative
'URL hyrule warriors 5 hate spiders DOTS part 2 URL h âte hyrule tiger warriors woods',0,0,0,0,0,0,1,0,0,0,0,negative
'hate tell people problems prefer candid anonymous DOTS candid android URL',0,1,0,1,0,0,2,0,0,0,0,negative
'know evil hate',0,1,0,0,0,0,2,0,0,0,0,negative
'fine dont laugh joke make look stupid hate teamfollowback',0,1,0,1,0,0,3,0,0,0,0,negative
'URL today hospital finish day dayhospital love hate 5cicle penultimo forte strong cancer monster',0,1,0,2,0,0,3,0,0,0,2,negative
'violent imag head loot kill want turn back time end hate — DOTS URL',0,1,0,0,0,0,3,0,0,0,0,negative
'mensrights MENTION shia labeouf rape 0 submit enriqueroz link comment URL feminism hate',0,1,0,0,0,0,2,0,0,0,0,negative
'hate will not_stop hate',0,2,0,0,0,0,2,0,0,0,0,negative
'tri hard find hate',0,1,0,0,0,0,2,0,0,0,0,negative
's toss hate',0,1,0,0,0,1,1,0,0,0,0,negative
'big brother africa ellah move wound heart romance hate sex URL',0,1,0,0,0,0,1,0,0,0,0,negative
'judg gavel fell hate',0,1,0,0,0,0,2,0,0,0,0,negative
'know evil hate',0,1,0,0,0,0,2,0,0,0,0,negative
'enemi fear think hate realli fear ghandi quote',0,1,0,0,0,0,4,0,0,0,0,negative
'babi fool hate',0,1,0,0,0,0,2,0,0,0,0,negative
'next moon gonna win sin citi hate',0,1,0,1,0,0,2,0,0,0,0,negative
'wanna see doin thing hate',0,1,0,0,0,0,1,0,0,0,0,negative
's toss hate',0,1,0,0,0,1,1,0,0,0,0,negative
'hate candi crush DOTS hate',0,1,0,0,0,0,3,0,0,0,0,negative
'anoth asshat ad ban list wed night hate thick last hour hatersgonnahatehatehate URL',0,1,0,0,0,0,1,0,0,0,0,negative
'now killer make pay follow hate URL put man awayfor smoke joint foolish URL man will come hate',0,1,0,0,0,0,3,0,0,0,0,negative
'hate problems DOTS true URL',0,1,0,0,0,0,2,0,0,0,0,negative
'make never want rais kid world full racism hate general',0,1,0,0,0,0,2,0,0,0,0,negative
'hate say yes im look way yesman hate selfish breakmyback DOTS URL',0,1,0,0,0,0,3,0,0,0,0,negative
'hate stretch mark check diy will help URL mommy moms follow baby',0,1,0,0,0,0,1,0,0,0,0,negative
