ItemID,Sentiment,SentimentSource,SentimentText
46,positive,Sentiment140,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT
47,negative,Sentiment140,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
48,negative,Sentiment140, - All Time Low shall be my motivation for the rest of the week.
49,negative,Sentiment140,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody"
50,negative,Sentiment140,  another year of Lakers .. That neither magic nor fun ...
51,negative,Sentiment140,  baddest day eveer.
52,positive,Sentiment140,  bathroom is clean..... now on to more enjoyable tasks......
53,positive,Sentiment140,  boom boom pow
54,negative,Sentiment140,  but i proud.
55,negative,Sentiment140,  congrats to helio though
56,negative,Sentiment140,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert.
57,negative,Sentiment140,  friends are leaving me ause of this stupid love  http://bit.ly/ZoxZC
58,positive,Sentiment140,  go give ur mom a hug right now. http://bit.ly/azFwv
59,positive,Sentiment140,  Going To See Harry Sunday Happiness
60,negative,Sentiment140,  Hand quilting it is then...
61,negative,Sentiment140,  hate u ...  leysh t9ar5 ... =((((((( ..
62,positive,Sentiment140,-  I always get what I want
63,positive,Sentiment140,  I bend backwards
64,positive,Sentiment140,  i get off work sooooon! i miss cody booo. haven seen him in foreverr!
65,positive,Sentiment140,  I hate allergies. Should I get my hair cut tomorrow? I taking a public poll...
66,negative,Sentiment140, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
67,negative,Sentiment140,  I miss Earl
68,negative,Sentiment140,  I miss New Jersey
69,negative,Sentiment140,"  I missed the first hour of SYTYCD last night, and I can find it online!"
70,negative,Sentiment140,  I need a U2 fix NOW!
71,negative,Sentiment140,  I never thought I become second choice...
72,negative,Sentiment140,  I think I may be too friendly...lol... o well...
73,negative,Sentiment140,  I think Manuel (my Basil plant) only has days to live
74,negative,Sentiment140,  I wanna be at home @ church...I wonder wht they are doing?
75,negative,Sentiment140,  i wanna make my own pizza
76,negative,Sentiment140,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
77,negative,Sentiment140,  i want a hug
78,negative,Sentiment140,  I want Miley to tour Australia
79,negative,Sentiment140,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
80,negative,Sentiment140,  i was too slow to get $1 Up tix
81,negative,Sentiment140,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
82,negative,Sentiment140,  I wish I could go to T4 On The Beach :(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather
83,negative,Sentiment140,"  i would be so much happier if the walls of my bedroom were painted white,"
84,negative,Sentiment140,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
85,negative,Sentiment140,  I finding the intercept slope..and banging my head against the wall..Math brain heads come save me
86,positive,Sentiment140,  I really going to bed now...
89,negative,Sentiment140,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope itl work
90,positive,Sentiment140,  Jin has a twitter.
91,negative,Sentiment140,  jonas day is almost over...
92,negative,Sentiment140,  Jus Got Hom Fr. TDa Funeral... I So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
93,positive,Sentiment140,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
94,positive,Sentiment140,"  Just got home, and I got to see my friend Zahra whom I haven seen since We graduated!!!  That makes me so happy."
95,negative,Sentiment140, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
96,negative,Sentiment140,  mi momacita won let me go to my bf bball game!!! grrr!!!
97,negative,Sentiment140,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
98,negative,Sentiment140,  My new car was stolen....by my mother who wanted to go pose at church.
99,negative,Sentiment140,"  no hang out with the girls 2day. 2moro, hope so......"
100,negative,Sentiment140,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
101,negative,Sentiment140,  no pavel tonight &lt;Tigersfan &gt;
102,negative,Sentiment140,  not a cool night.
103,positive,Sentiment140,  oh thank you!
104,positive,Sentiment140,  pleased
105,negative,Sentiment140,  probably guna get off soon since no one is talkin no more
106,negative,Sentiment140,  really wanted Safina to pull out a win &amp; to lose like that...
107,negative,Sentiment140,"  RIP, David Eddings."
108,positive,Sentiment140,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that half a year away.
109,negative,Sentiment140, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
110,negative,Sentiment140,  so whats the status on next weekend
111,negative,Sentiment140,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
112,negative,Sentiment140,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
113,positive,Sentiment140,"  Thanks, I need all the help i can get."
114,positive,Sentiment140, - that explains alot.
115,positive,Sentiment140,  There going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
116,negative,Sentiment140,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
117,positive,Sentiment140,  trae is so sweet! He just bought me a new baithing suit!! Wove him
118,positive,Sentiment140,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
119,negative,Sentiment140,  u guys knw whyy
120,negative,Sentiment140,  very much so
121,negative,Sentiment140,  waahhh now I getting sad....miss hub :-(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
122,negative,Sentiment140,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
123,negative,Sentiment140,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
124,negative,Sentiment140,  where is my picture i feel naked
125,negative,Sentiment140,  Why aren there any trains going to manchester on a sunday?!!  Now I can go to the @jonasbrothers concert.
126,negative,Sentiment140, - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
127,negative,Sentiment140,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
128,positive,Sentiment140,  wide awake   NOT!!!
129,positive,Sentiment140,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
130,negative,Sentiment140, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
131,negative,Sentiment140,  youl always be my one and only...  [12*23*2007]
132,negative,Sentiment140, #3turnoffwords this shit sucks
133,negative,Sentiment140, #asylm J2 panel is over. Guess it back to normal life.
134,positive,Sentiment140, #poemsunder140 ....started by @shannonelyse1
135,negative,Sentiment140, #squarespace brighten my bad day! i never win anything...
136,negative,Sentiment140," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
137,negative,Sentiment140, #twenty20
138,positive,Sentiment140," &lt;--- That is all, and believe me.. it enough!"
139,positive,Sentiment140, &lt;3 goooood timessss
140,negative,Sentiment140, &lt;3 GrAdUaTE 09&lt;3
141,negative,Sentiment140," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
142,negative,Sentiment140, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far
143,negative,Sentiment140, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
144,positive,Sentiment140, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
145,negative,Sentiment140, &quot;I want you so bad it driving me  mad&quot;
146,positive,Sentiment140, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
147,positive,Sentiment140, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke
148,negative,Sentiment140, &quot;Try to turn on my tv to get you out of my head. Ie got this feeling inside that I just won admit...&quot; (that is literally how I feel)
149,negative,Sentiment140," &quot;well, the truth is I miss you so&quot;- Coldplay"
150,negative,Sentiment140, (tears) :-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
151,negative,Sentiment140, (unsure) (annoyed) http://plurk.com/p/1230lz
152,negative,Sentiment140, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
153,negative,Sentiment140, *BeautifulyLost
154,negative,Sentiment140,- *cries* I going to miss Harry Potter when it comes out.  I leaving to Vietnam on July 11th.  I going to cry!!
155,positive,Sentiment140,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headinout to reality. Cheers Twitter world!
156,positive,Sentiment140,-- . *sigh* You cant love someone that doesn love you back that like stalker status . GET a divorce &amp;&amp; move on . Trinity.
157,negative,Sentiment140," . . . . going back to bed, because I lookinaround and don see a reason to be awake atm. Be up in a little."
158,positive,Sentiment140,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . "
159,positive,Sentiment140, - Triiiiiii .  ily . even if Chaise doesnt . D *dies of laughter
160,negative,Sentiment140, .. i wantt hiim soo badd !!
161,negative,Sentiment140," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
162,negative,Sentiment140, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...
163,negative,Sentiment140, ... Rained out truck race
164,negative,Sentiment140, ... Why am I feeling worse??? F!!!
165,negative,Sentiment140, .... Feeling pain and happiness at the same time. How confusing!
166,positive,Sentiment140, ..... hot choco is the best!
167,negative,Sentiment140, ....in a shirt and panties. celulite
168,negative,Sentiment140, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
169,negative,Sentiment140, ..y everything is so hard? :/
170,negative,Sentiment140, .bueno good bye. good night
171,positive,Sentiment140, : Beach day with Scoobs. =( : Still no phone.
172,negative,Sentiment140," : Let have fun,. When I give ya what I give ya."
173,negative,Sentiment140, :[ I don want to move!!!
174,positive,Sentiment140," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
175,positive,Sentiment140, @ canaveral national  seashore
176,positive,Sentiment140, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
177,positive,Sentiment140, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone.
178,negative,Sentiment140, @ the train crash in DC .....
179,positive,Sentiment140," @ Thestreetforce  "
180,positive,Sentiment140, @3sixty5days makes me smile.
181,positive,Sentiment140," @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
182,positive,Sentiment140," @adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6r0"
183,positive,Sentiment140, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
184,negative,Sentiment140, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?
185,negative,Sentiment140, @AmericanWomannn Well that sure minimizes the impact...LOL
186,positive,Sentiment140," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
187,positive,Sentiment140, @CharlottegC I just saw ur mum
188,positive,Sentiment140, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
189,positive,Sentiment140,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024"
190,positive,Sentiment140, @copicmarker&quot; facebook.com/copic.marker if youe cool. Or if youe not cool. Maybe Il send some cool .. http://tr.im/oyT7
191,positive,Sentiment140, @crewislife  you want to start the morning later in New York we can do that  (Californians have it even better)
192,positive,Sentiment140, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
193,positive,Sentiment140, @dandelionas is making fettucini and garlic bread!
194,positive,Sentiment140, @danregal  tell @pfont i said Happy BDay!!
195,negative,Sentiment140,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML "
196,positive,Sentiment140," @DirtyRose17  told you, you would sweep haha :-p"
197,negative,Sentiment140, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
198,negative,Sentiment140,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
199,negative,Sentiment140," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
200,negative,Sentiment140,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics"
201,negative,Sentiment140, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He gonna go for the $$. They all do. Can blame him though.
202,negative,Sentiment140, @Glamicole ..now who wud make this beautiful plc cry?
203,negative,Sentiment140, @HaterMagazine: @damienrandle it is now the outer fat kid.
204,positive,Sentiment140,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
205,positive,Sentiment140," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn"
206,negative,Sentiment140," @hellopnsdear se MORREA a mi Joseph, no no se vale."
207,positive,Sentiment140, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR
208,positive,Sentiment140, @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
209,positive,Sentiment140, @iamyas awesome
210,positive,Sentiment140, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
211,positive,Sentiment140,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I jealous! I want flowers without having to be in the hospital to get them!
212,positive,Sentiment140,- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it as strong as the weakest link â€¦
213,negative,Sentiment140, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
214,negative,Sentiment140,- @JuicyJones I know.. SOLD OUT though.
215,positive,Sentiment140,- @kaitymarine - watch E3 @MCMudkips - Will do
216,positive,Sentiment140,- @katherineholden Thanks K! Here hoping! Pretty nervous though...
217,negative,Sentiment140, @katiedontcry should get on aim and talk to me. i miss her.
218,positive,Sentiment140, @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
219,positive,Sentiment140," @khead Il tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y"
220,negative,Sentiment140, @kvetchingeditor kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL
221,negative,Sentiment140, @Leloz isn home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!
222,positive,Sentiment140," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
223,negative,Sentiment140,"- @littlecharva - I immune to dentistsdrills etc now, it just doesn bother me at all. Having gum lift surgery next week tho *eek* "
224,negative,Sentiment140, @lolife4life where r u tonite im still awake!
225,negative,Sentiment140, @lorinimus hates Bebot App
226,positive,Sentiment140," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
227,positive,Sentiment140, @MelodyChase
228,positive,Sentiment140, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
229,positive,Sentiment140, @michaelsarver so do you give him every inch of your love every night?
230,positive,Sentiment140, @mimbles @WParenthetical
231,positive,Sentiment140,@minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter.
232,positive,Sentiment140," @MsNovember It a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
233,positive,Sentiment140,- @nibaq Thanks for letting me know. I going to check out Eureka later with this knowledge
234,negative,Sentiment140, @Oneshine What are u referring to?
235,negative,Sentiment140, @plmusic22
236,positive,Sentiment140,"- @PoisonGirl10 What up? @sevgli Hey you!  @lowridergrl I doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol"
237,positive,Sentiment140, @RAPPUBLICIST HAPPY MOTHERS DAY!
238,positive,Sentiment140,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! "
239,negative,Sentiment140,                                     I miss her so much already...
240,negative,Sentiment140,               just practising.....how I feel
241,negative,Sentiment140,            Miss my love Jamie
242,negative,Sentiment140,          FUCK YOU!
243,negative,Sentiment140,        my head feels like a bowling ball
244,negative,Sentiment140,        my heart hurts badly...
245,negative,Sentiment140,       FS keeps crashing when I try to load Bungie plane.
246,negative,Sentiment140,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!
247,negative,Sentiment140,     ....    My mood is currently BLAH . Sitting in a parking lot
248,positive,Sentiment140,     I am happy
249,negative,Sentiment140,    ...that is all.
250,negative,Sentiment140,    everyone went home. and not everyone was even here! ~CMF &lt;3
251,negative,Sentiment140,    fed up....
252,negative,Sentiment140,"    fuck, fuck, fuuuuck!"
253,negative,Sentiment140,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!"
254,negative,Sentiment140,   @Beansummer
255,negative,Sentiment140,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt "
256,negative,Sentiment140,   bed time now....
257,positive,Sentiment140,   Faltam 4 dias para o World Drawing day
258,negative,Sentiment140,"   Friends like these ... no thanks, I not fake! ^ ^"
259,positive,Sentiment140,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.
260,negative,Sentiment140,   i think my bf is cheating on me!!!!
261,positive,Sentiment140,   i wanna play with my camera but i will settle for playing with iv and heart monitors
262,negative,Sentiment140,   i want an octo drive
263,negative,Sentiment140,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!"
264,negative,Sentiment140,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn work
265,negative,Sentiment140,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight
266,negative,Sentiment140,  --- is our response to what happened today. and that is all.
267,negative,Sentiment140,"   J, you are right... it hurts."
268,negative,Sentiment140,"   kinda but not really, but kinda "
269,negative,Sentiment140,"   let have a moment of silence for our childhood homes... sadly, it can be replaced and we can never go back"
270,positive,Sentiment140,   lol all these #robotpickuplines are hilarious
271,positive,Sentiment140,"   man, oh man     (i should punch myself in the head, but im ok with that)"
272,positive,Sentiment140,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
273,negative,Sentiment140,"   No man is worth your tears, and the one that is won make you cry!"
274,negative,Sentiment140,   rain rain go away!
275,negative,Sentiment140,   storms are scary!
276,positive,Sentiment140,   such a beautiful satisfying day of bargain shopping. loves it.
277,negative,Sentiment140,   Tell those girls your clocking out lol
278,positive,Sentiment140,   thank god today is friday !!! I love Ti Ti! &lt;3
279,negative,Sentiment140,   the batt to my internet connection died.  Guess its back to the mobile!
280,positive,Sentiment140,   thrilled about being at work this morning
281,positive,Sentiment140,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
282,negative,Sentiment140,   www.apple.com/iphone now has it for the 18th
283,negative,Sentiment140,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot
284,negative,Sentiment140,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l
285,negative,Sentiment140,                                           exhausted
286,negative,Sentiment140,          i want some ben&amp;jerrys cake batter please ugh
287,positive,Sentiment140,          my life is very lazzzzyyyy!!!!!!!            ***********
288,negative,Sentiment140,"        wish ella was on or somebody,,,,"
289,positive,Sentiment140,       ish in a good mood .....tlk to me
290,negative,Sentiment140,      i think i going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean
291,negative,Sentiment140,      what the hell BBC?
292,negative,Sentiment140,     #canucks
293,negative,Sentiment140,     I dont like this weekend.. Huhuhu ( (
294,negative,Sentiment140,     Il get on it right away!
295,positive,Sentiment140,-     J + A MADE NiCE..... TWiCE!                     for now ;]
296,positive,Sentiment140,     loves life atm!   its brilliant XD
297,positive,Sentiment140,     who else is in a happy mood?? =D
298,positive,Sentiment140,    !BYE EVERYONE!
299,negative,Sentiment140,    ...lonely night
300,negative,Sentiment140,    blue does not work
301,negative,Sentiment140,    geez I feeling their pain
302,negative,Sentiment140,    i miss my summertime daley.
303,negative,Sentiment140,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        "
304,positive,Sentiment140,    SO FAR SO GOOD!
305,positive,Sentiment140,    TODAY WAS A GREAT DAY!!!
306,negative,Sentiment140,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
307,negative,Sentiment140,   #Battleground
308,positive,Sentiment140,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot."
309,negative,Sentiment140,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt
310,negative,Sentiment140,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html
311,negative,Sentiment140,   eh  must leave New Mexico and soon!
312,negative,Sentiment140,   fail maths  i knew it i was just too slow
313,negative,Sentiment140,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries"
314,negative,Sentiment140,   fuck sake. Why can things never work out for me?
315,negative,Sentiment140,"-   going in town todaÑ‡ with mÑ‡ cousinnn, [Ñ‡]     netball match was cancelledd "
316,negative,Sentiment140,   hoping to see my baby girl
317,negative,Sentiment140,   i don even know.
318,negative,Sentiment140,   I just lost a member of my family
319,negative,Sentiment140,   I SICK of bedtime battles
320,negative,Sentiment140,   i so cold this morning......       i have chills all over.....
321,negative,Sentiment140,   Just...
322,negative,Sentiment140,   No no no. Tonight goes on the books as the worst SYTYCD results show.
323,negative,Sentiment140,   no shopping
324,negative,Sentiment140,"  - Poor lil mousey, just out enjoying the sunny day. I don think I feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
325,negative,Sentiment140,  -- that an EPIC sad face.
326,negative,Sentiment140,   This magazine story just broke my heart at the dentist office today:  http://tinyurl.com/ngbq2c
327,positive,Sentiment140,   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy
328,negative,Sentiment140,   wanna go meet wifey but can....  this sux   :(
329,negative,Sentiment140,   Wondering why I feel like I do...Il feel better though...Its all good! Il be happy inspite of...Tweet ya lata
330,positive,Sentiment140,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT WAY+ boy,it Gonna STAY added 2 the Master HOLY WAY: ALL HIS WILL+WAY"
331,negative,Sentiment140,  #IranElection - no one realizes how deep this goes.
332,negative,Sentiment140,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )
333,negative,Sentiment140,"  &lt; that is the story of my life, a whole bunch of frownies!"
334,negative,Sentiment140,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME
335,negative,Sentiment140,             i just want to hear from you. i guess that asking too much..
336,positive,Sentiment140,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
337,negative,Sentiment140,       i really2 don like this condition. sucksssssss
338,negative,Sentiment140,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!"
339,negative,Sentiment140,      rinitis sucks!!!!!
340,positive,Sentiment140,      thanks for being the bestttttttttttttttttttt J-dawg
341,negative,Sentiment140,     &gt;( &gt;(  i mad and sad right now. Played so terrible today in both soccer and basketball.
342,negative,Sentiment140,     &lt;- but mustache man is not that desperate
343,negative,Sentiment140,     &lt;--------- my face because i missing zoro tonight.
